Major, Early Career Pay, Mid-Career Pay, High Meaning
Transportation & Logistics Management,57600.0,93000.0,48%
Financial Accounting,56100.0,92900.0,51%
Cell & Molecular Biology,51900.0,92800.0,68%
Industrial Safety,55200.0,92800.0,78%
Insurance,56000.0,92800.0,43%
Manufacturing Management,64000.0,92800.0,49%
Networks & Telecommunications,54300.0,92800.0,56%
Labor Studies,46600.0,92600.0,49%
Digital Media Design,46700.0,92600.0,31%
Advertising & Marketing Communications,48300.0,92600.0,36%
Cinema Studies,47900.0,92500.0,33%
Electronic & Computer Technology,63800.0,92500.0,58%
Marketing Communication,45700.0,92500.0,39%
Construction Technology,59100.0,92400.0,-
Architecture,51000.0,92300.0,53%
Applied Statistics,65900.0,92200.0,47%
Biological Sciences,49300.0,92100.0,66%
Food Science,52500.0,92100.0,51%
Urban & Regional Planning,51800.0,92100.0,60%
Marketing Management,51300.0,92000.0,42%
Computer & Network Administration,56800.0,91900.0,47%
Applied Computer Science,66100.0,91800.0,44%
Sales,61500.0,91600.0,44%
Environmental Design,47700.0,91400.0,55%
Hotel Management,49100.0,91400.0,44%
Advertising Design,52700.0,91300.0,28%
Digital Arts,45600.0,91300.0,35%
Financial Management,54300.0,91300.0,54%
Electronic Systems Technology (EST),81000.0,91200.0,-
Italian Language,51400.0,91100.0,43%
German Studies,50000.0,91000.0,42%
Quality Management,57400.0,90800.0,60%
Microbiology,48400.0,90300.0,68%
Entrepreneurship,54800.0,90300.0,47%
Interactive Media,52700.0,90200.0,35%
Global Business Management,55900.0,90200.0,52%
Network Systems Administration,57900.0,90200.0,50%
Police Science,55400.0,90200.0,-
Hydrology,48700.0,90100.0,-
Business Data Analysis,64700.0,90000.0,36%
Database Management,65900.0,90000.0,-
Spanish Literature,51100.0,90000.0,50%
Business Technology,52800.0,89900.0,42%
Business Management & Marketing,48900.0,89800.0,48%
Technical Management,64400.0,89700.0,62%
Human Biology,51100.0,89600.0,70%
Meteorology,46200.0,89500.0,57%
Computer Graphics Technology (CGT),49000.0,89200.0,40%
Urban Planning,50500.0,89200.0,53%
Aviation Technology,58100.0,89100.0,49%
Environmental Health,50000.0,89100.0,65%
Agricultural Science,48900.0,88900.0,59%
Agronomy,50200.0,88900.0,65%
International Studies,50000.0,88900.0,51%
Design,52800.0,88800.0,40%
Applied Science,46400.0,88700.0,-
Architectural Engineering Technology,52200.0,88700.0,59%
German Language,50700.0,88700.0,41%
Technology,56200.0,88600.0,64%
Advertising & Promotion,46100.0,88500.0,46%
Pre-law,46800.0,88400.0,45%
Digital Media,47300.0,88200.0,38%
Biological Anthropology,46200.0,88100.0,49%
Personal Financial Planning,53800.0,88100.0,60%
Professional Pilot Education,63700.0,88000.0,-
Textile Technology,54000.0,88000.0,42%
Web & Digital Media Development,52300.0,88000.0,33%
Entrepreneurial Studies,48700.0,87900.0,37%
Fashion Design,47500.0,87700.0,27%
Retailing,51300.0,87600.0,35%
Business Communication,50900.0,87300.0,47%
Environmental Science,49100.0,87300.0,59%
Product Design Engineering,65500.0,87200.0,35%
English Literature,47700.0,87000.0,45%
Logistics,57600.0,87000.0,41%
Math & Science,55600.0,86900.0,66%
International Trade & Business,54800.0,86800.0,27%
Pre-Medicine,50800.0,86800.0,67%
Speech & Drama,37500.0,86800.0,-
Toxicology,44600.0,86800.0,-
Advertising & Marketing,49000.0,86700.0,38%
Geographic Information Systems (GIS) & Spatial Analysis,54000.0,86700.0,57%
Marketing & Mass Communications,45400.0,86700.0,41%
Welding Technology,48400.0,86700.0,-
General Business,50200.0,86600.0,51%
Construction Engineering Technology,55800.0,86400.0,53%
Architectural Studies,45400.0,86400.0,42%
Aviation Maintenance Technology,51000.0,86300.0,60%
Communication Studies & Journalism,44800.0,86200.0,47%
Management,51600.0,86200.0,48%
General Science,49100.0,86100.0,60%
Magazine Journalism,46800.0,86100.0,32%
Electronics & Computer Technology,55600.0,86000.0,-
Theatre & Drama Studies,44800.0,86000.0,49%
Animation,45000.0,85900.0,35%
Biology & Chemistry,49200.0,85900.0,66%
Diagnostic Medical Ultrasound,67700.0,85900.0,67%
History & Politics,49500.0,85900.0,51%
Public Affairs,52700.0,85900.0,50%
Romance Languages,53000.0,85900.0,53%
Physiology,49300.0,85900.0,63%
Corporate Communications,48500.0,85700.0,42%
International Affairs,51600.0,85700.0,52%
Nursing Science,66800.0,85700.0,84%
Organizational Development,53800.0,85700.0,54%
Textile & Apparel Studies,47100.0,85700.0,30%
Business Administration,52800.0,85600.0,50%
Business Administration & Accounting,52400.0,85600.0,55%
Philosophy & Religion,43800.0,85600.0,55%
Architectural Design,47700.0,85400.0,60%
Textile Design,50000.0,85200.0,43%
Interpersonal & Organizational Communication,42400.0,85200.0,56%
Geographic Information Systems (GIS),50000.0,85100.0,52%
Business Management,51700.0,85000.0,51%
Linguistics,52100.0,84900.0,43%
French Language,49600.0,84800.0,47%
Communication,48000.0,84700.0,45%
Neuroscience,51800.0,84700.0,58%
Business Management & Human Resources Management (HRM),46800.0,84600.0,57%
Journalism & Mass Communication,46300.0,84600.0,44%
Accounting & Management,55500.0,84500.0,52%
Sociology & Organizational Studies,53500.0,84300.0,57%
Crop Science,48700.0,84200.0,60%
French Studies,52400.0,84200.0,57%
Writing,44200.0,84200.0,42%
Nursing,65000.0,84200.0,83%
History,47800.0,84100.0,46%
Biology,47100.0,84000.0,65%
Land Surveying,51900.0,84000.0,54%
Architectural Technology,46700.0,83900.0,61%
Health Care,44400.0,83900.0,74%
Integrated Marketing Communications,47000.0,83900.0,36%
Agriculture,47700.0,83800.0,61%
Digital Design,50000.0,83600.0,40%
Marketing & Advertising,49300.0,83600.0,44%
Organizational Communication,46400.0,83600.0,49%
Visual Effects & Motion Graphics,48100.0,83400.0,38%
Public Relations & Communication,45700.0,83300.0,47%
General & Strategic Management,51200.0,83300.0,55%
Foreign Languages,48400.0,83100.0,52%
Retail Merchandising,50900.0,83100.0,31%
Agribusiness Management,47700.0,83000.0,46%
Global Business,55800.0,83000.0,31%
Professional & Technical Writing,48500.0,83000.0,44%
Computer Art,40400.0,82900.0,31%
Environmental Management,50200.0,82900.0,62%
Environmental Studies,48500.0,82900.0,59%
Journalism,45900.0,82900.0,44%
Travel Industry Management,52600.0,82900.0,-
International Development Studies,47700.0,82800.0,64%
Natural Sciences,45100.0,82800.0,55%
